trial,kind,colour,rt,correct,practice,anticipation
1,simple,gold,318,1,0,0
2,simple,gold,274,1,0,0
3,simple,gold,0,0,0,1
4,simple,gold,341,1,0,0
5,simple,gold,289,1,0,0
6,simple,gold,402,1,0,0
7,simple,gold,256,1,0,0
8,simple,gold,331,1,0,0
9,simple,gold,298,1,0,0
10,simple,gold,310,1,0,0
11,simple,gold,267,1,0,0
12,simple,gold,355,1,0,0
13,simple,gold,288,1,0,0
14,simple,gold,322,1,0,0
15,simple,gold,275,1,0,0
16,simple,gold,349,1,0,0
17,simple,gold,301,1,0,0
18,simple,gold,2800,1,0,0
19,simple,gold,294,1,0,0
20,simple,gold,336,1,0,0
1,choice,gold,412,1,0,0
2,choice,blue,458,1,0,0
3,choice,gold,390,1,0,0
4,choice,blue,0,0,0,1
5,choice,gold,441,1,0,0
6,choice,blue,478,1,0,0
7,choice,gold,405,0,0,0
8,choice,blue,433,1,0,0
9,choice,gold,388,1,0,0
10,choice,blue,462,1,0,0
11,choice,gold,419,1,0,0
12,choice,blue,447,1,0,0
13,choice,gold,401,1,0,0
14,choice,blue,490,1,0,0
15,choice,gold,376,1,0,0
16,choice,blue,455,1,0,0
17,choice,gold,428,1,0,0
18,choice,blue,469,1,0,0
19,choice,gold,397,1,0,0
20,choice,blue,444,1,0,0
